pn;nInstances;nResources;time;nRuns;median;std;bestgap;initialgap
a20g6;10;3;45;14;201.0;10.0526;3.91;3.91
a20g6;10;3;60;7;201.0;5.3675;1.56;1.56
a20g6;10;3;90;4;201.0;0.0000;0.00;0.00
a20g6;10;3;180;2;201.0;0.0000;0.00;0.00
a20g6;10;5;45;4;132.5;19.1311;27.27;26.07
a20g6;10;5;60;4;115.0;7.1880;13.11;10.95
a20g6;10;5;90;4;115.5;4.9917;11.89;12.44
a20g6;10;5;180;4;112.5;0.5774;10.29;10.84
a20g6;10;7;45;4;135.5;1.7321;1.88;-2.17
a20g6;10;7;60;4;134.5;0.9574;1.32;-2.71
a20g6;10;7;90;4;134.5;0.9574;1.32;-3.41
a20g6;10;7;180;4;134.0;0.5000;0.56;-3.08
a20g6;10;12;45;4;81.0;0.0000;0.00;0.00
a20g6;10;12;60;4;81.0;0.0000;0.00;0.00
a20g6;10;12;90;4;81.0;0.0000;0.00;0.00
a20g6;10;12;180;4;81.0;0.0000;0.00;0.00
a20g6;15;3;45;4;296.0;0.0000;0.00;0.00
a20g6;15;3;60;4;296.0;0.0000;0.00;0.00
a20g6;15;3;90;4;296.0;0.0000;0.00;0.00
a20g6;15;3;180;4;296.0;0.0000;0.00;0.00
a20g6;15;5;45;4;226.0;12.3288;49.84;43.30
a20g6;15;5;60;4;216.5;9.6393;42.65;40.35
a20g6;15;5;90;4;198.5;19.8725;27.23;26.39
a20g6;15;5;180;4;167.5;3.1623;14.29;12.00
a20g6;15;7;45;4;190.0;4.1231;3.84;-3.32
a20g6;15;7;60;4;187.5;2.0616;2.88;-4.46
a20g6;15;7;90;4;186.5;1.7321;2.19;-4.85
a20g6;15;7;180;4;185.5;1.7078;1.50;-5.23
a20g6;15;12;45;4;111.5;0.5774;0.45;0.45
a20g6;15;12;60;4;111.5;0.5774;0.45;0.45
a20g6;15;12;90;4;111.0;0.5000;0.23;0.23
a20g6;15;12;180;4;111.0;0.0000;0.00;0.00
a20g6;20;3;45;4;391.0;0.0000;0.00;0.00
a20g6;20;3;60;4;391.0;0.0000;0.00;0.00
a20g6;20;3;90;4;391.0;0.0000;0.00;0.00
a20g6;20;3;180;4;391.0;0.0000;0.00;0.00
a20g6;20;5;45;4;324.0;25.1048;59.25;55.46
a20g6;20;5;60;4;315.5;17.3277;53.36;54.84
a20g6;20;5;90;4;293.0;12.1244;47.51;46.06
a20g6;20;5;180;4;259.5;9.4692;27.65;29.25
a20g6;20;7;45;4;255.0;11.1206;8.07;0.99
a20g6;20;7;60;4;249.0;12.4733;6.55;-1.49
a20g6;20;7;90;4;245.5;7.9320;5.03;-2.68
a20g6;20;7;180;4;239.0;3.3040;2.91;-5.26
a20g6;20;12;45;4;148.0;2.8284;4.26;4.26
a20g6;20;12;60;4;143.0;2.3094;1.42;1.42
a20g6;20;12;90;4;142.5;2.4495;1.42;1.42
a20g6;20;12;180;4;141.0;0.0000;0.00;0.00
a20g6;25;3;45;4;488.0;2.2174;-0.36;0.46
a20g6;25;3;60;4;488.5;1.7078;-0.15;0.57
a20g6;25;3;90;4;489.5;1.7078;0.67;0.67
a20g6;25;3;180;4;488.5;1.2910;0.51;0.51
a20g6;25;5;45;4;415.0;33.3966;47.87;57.66
a20g6;25;5;60;4;414.5;32.1351;54.65;61.87
a20g6;25;5;90;4;400.5;30.2035;56.19;56.49
a20g6;25;5;180;4;367.5;31.3728;46.84;45.98
a20g6;25;7;45;4;320.0;17.4642;10.82;3.59
a20g6;25;7;60;4;314.0;14.4684;9.47;1.96
a20g6;25;7;90;4;308.0;10.1325;6.62;0.00
a20g6;25;7;180;4;292.0;7.7244;3.36;-4.41
a20g6;25;12;45;4;186.5;7.1647;9.04;9.36
